               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.091747,            0.037587,            0.043801,           0.0014296,             0.26667,           0.0012317,          0.00020347,             0.10189,            0.016984,            0.036533,             0.00154,             0.00154,             0.08614
                   1,            0.086674,            0.038024,            0.034499,           0.0095248,            0.066667,           0.0034914,           0.0010545,             0.10273,            0.015078,            0.031639,           0.0030899,           0.0030899,             0.07219
                   2,            0.083904,            0.037535,            0.028588,           0.0045874,                 0.2,           0.0024471,          0.00057078,            0.093019,            0.016029,            0.017651,           0.0046396,           0.0046396,             0.05824
                   3,             0.08069,            0.037747,            0.023181,          0.00053591,            0.066667,          0.00029158,          2.9158e-05,             0.11927,            0.011509,            0.043306,           0.0061888,           0.0061888,            0.044289
                   4,            0.076284,            0.040764,            0.016898,             0.11334,             0.13333,             0.03608,           0.0094149,            0.084885,            0.018682,           0.0075246,           0.0077373,           0.0077373,            0.030337
                   5,            0.074286,            0.037742,            0.011283,            0.067506,             0.13333,            0.013881,            0.001405,            0.088052,            0.028547,           0.0034593,           0.0092849,           0.0092849,            0.016385
                   6,            0.071413,            0.036356,           0.0089015,             0.90815,            0.066667,            0.077393,            0.014667,            0.079632,            0.020099,           0.0030975,           0.0099921,           0.0099921,           0.0099921
                   7,            0.066392,            0.036334,           0.0070188,            0.028562,                 0.2,            0.013384,            0.002754,            0.070647,            0.026839,           0.0018987,           0.0099921,           0.0099921,           0.0099921
                   8,            0.063536,            0.036916,           0.0063823,             0.16631,             0.26667,             0.06949,            0.014637,            0.063769,            0.016094,           0.0015561,           0.0099893,           0.0099893,           0.0099893
                   9,             0.05947,            0.035255,           0.0050991,             0.45404,             0.33271,             0.32072,             0.12246,            0.051131,            0.023038,           0.0010198,            0.009986,            0.009986,            0.009986
                  10,            0.056838,            0.034715,           0.0048453,              0.9987,             0.33333,             0.43668,              0.1541,            0.051964,            0.016567,           0.0011992,           0.0099822,           0.0099822,           0.0099822
                  11,            0.053579,            0.033307,           0.0043777,              0.5828,             0.46573,             0.44221,             0.16277,            0.047194,            0.018658,           0.0012404,           0.0099781,           0.0099781,           0.0099781
                  12,            0.051042,            0.031897,           0.0037267,                   1,             0.46622,             0.51684,             0.20004,            0.049949,            0.013785,          0.00093413,           0.0099735,           0.0099735,           0.0099735
