               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.093733,            0.032136,            0.040492,            0.001375,             0.13333,          0.00057151,          5.7151e-05,             0.12595,            0.011416,            0.088239,             0.00237,             0.00237,             0.07867
                   1,            0.088981,            0.030697,            0.028716,           0.0011259,             0.13333,          0.00038562,          3.8562e-05,             0.10282,            0.012142,             0.01886,           0.0047499,           0.0047499,             0.05725
                   2,             0.08663,             0.03081,            0.020577,             0.00647,            0.066667,           0.0024894,          0.00038038,             0.10914,            0.011984,            0.024754,           0.0071294,           0.0071294,            0.035829
                   3,            0.081272,            0.030415,            0.012222,             0.18871,            0.066667,            0.019512,           0.0024121,            0.084796,            0.022568,            0.002974,           0.0095081,           0.0095081,            0.014408
                   4,            0.074917,            0.030163,           0.0079994,             0.49126,             0.13333,            0.079853,            0.013436,            0.053844,            0.014994,           0.0018998,           0.0099965,           0.0099965,           0.0099965
                   5,            0.068707,            0.029878,            0.005827,             0.39778,             0.39655,             0.21026,            0.040179,            0.053404,            0.015404,           0.0010264,           0.0099965,           0.0099965,           0.0099965
                   6,            0.065851,            0.028324,           0.0048776,             0.18398,             0.46598,             0.14251,            0.039518,            0.054123,            0.013384,           0.0055567,           0.0099945,           0.0099945,           0.0099945
                   7,            0.059553,            0.027853,            0.004262,             0.53505,             0.46667,             0.32683,             0.10954,            0.059075,            0.014658,           0.0010136,           0.0099921,           0.0099921,           0.0099921
                   8,            0.056533,            0.025622,           0.0037427,             0.36293,             0.26667,             0.14781,            0.049292,            0.081081,            0.011982,            0.029649,           0.0099893,           0.0099893,           0.0099893
                   9,            0.053411,            0.024246,           0.0034036,              0.7771,             0.46504,             0.45253,             0.22575,            0.038167,            0.010025,           0.0006725,            0.009986,            0.009986,            0.009986
                  10,            0.049191,            0.022207,           0.0032004,             0.99848,             0.53333,             0.53628,             0.27514,            0.038338,           0.0096697,          0.00069058,           0.0099822,           0.0099822,           0.0099822
